Município;Sigla da Unidade da Federação;Área da unidade territorial;Estabelecimentos de Saúde SUS;Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010);Matrícula - Ensino fundamental - 2012;Matrícula - Ensino médio - 2012;Pessoal ocupado total;PIB per capita a preços correntes;População residente - Homens;População residente - Mulheres;População residente que frequentava creche ou escola;População residente, religião católica apostólica romana;População residente, religião espírita;População residente, religião evangélicas;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal no município de residência;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal em mais de um município ou país;Pessoas de 10 anos ou mais de idade, Sem instrução e fundamental incompleto - Total;Pessoas de 10 anos ou mais de idade, Fundamental completo e médio incompleto - Total;Pessoas de 10 anos ou mais de idade, Médio completo e superior incompleto - Total;Pessoas de 10 anos ou mais de idade, Superior completo - Total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2000 - total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2010 - total;Unidades domésticas por tipo - nuclear - homem com filho(s);Unidades domésticas por tipo - nuclear - mulher com filho(s)
110001;RO;7067,025;7;0,641;4212;1099;2808;13743,5;12656;11736;7029;14464;67;6561;190,67;455;1118,83;2076,85;9667;59;13470;2925;3121;801;15,8;12;2,3;10
110002;RO;4426,571;16;0,702;16733;4196;18433;14315,2;45543;44810;29045;36570;706;30426;300;510;1640,23;2451,73;40624;672;40351;12630;16799;4275;11,8;7,9;2,9;13,3
110003;RO;1314,362;6;0,65;950;268;508;15755,15;3266;3047;1859;3857;3;1803;255;440;1263,07;1771,07;2687;3;3487;730;840;193;17,5;13,6;1,8;7,1
110004;RO;3792,801;14;0,718;12798;4161;16163;14865,49;39124;39450;25865;33535;447;30675;270;510;1630,31;2658,52;36067;535;36674;12244;12943;4090;12,1;8,3;2;12,4
110005;RO;2783,3;7;0,692;2592;752;2230;15996,62;8551;8478;5152;10100;34;5090;377,5;450;1404;1922,97;7609;143;8642;2256;2562;765;13,9;10,3;2,1;13,1
110006;RO;1451,061;7;0,685;2658;1148;2294;12158,75;9330;9261;5858;10722;34;5247;306;466,67;1233,75;1834,17;7931;70;9422;2425;2799;951;15,1;12,4;2,1;11,6
110007;RO;3060,321;1;0,613;1438;392;839;22160,19;4711;4072;2487;5810;10;2085;300;430;1269,7;1563,19;4001;35;5220;1319;626;245;17,5;12,6;1,7;6,1
110008;RO;4987,177;9;0,611;3032;572;1017;9884,41;7202;6476;4961;8630;20;4152;255;306;1225,68;1471,71;5927;5;7283;1606;1379;356;16;8,6;2,8;9,6
110009;RO;4518,034;9;0,672;4953;1311;4444;12759,39;14606;14123;8204;12636;27;11831;278;480;1478,92;2200,08;13924;31;15087;4397;3197;1075;15,3;11,4;1,8;10,6
110010;RO;24855,724;13;0,657;8809;1638;4207;15611,15;20947;20709;14904;24068;125;12622;127,5;392,5;867,56;2031,29;14918;20;19374;5749;6233;1504;11,7;8,1;2,6;14,2
110011;RO;2944,128;17;0,689;8973;2373;8660;15266,27;26005;26000;17173;21860;133;20107;307,5;503,33;1355,25;2127,04;22544;265;26209;6725;7509;2193;15,2;10,7;2,1;12,3
110012;RO;6896,738;29;0,714;19486;5188;27399;14464,73;57824;58786;35656;47300;628;45727;300;510;1231,89;2530,34;53376;1377;50280;17428;23179;5966;11,4;7,8;2,1;13,8
110013;RO;8509,314;14;0,596;6168;1078;3079;10234,83;16536;14599;9473;13445;222;10459;194,5;400;1202,69;1698,1;14019;68;17965;3499;2747;667;16,4;12;2,2;8,8
110014;RO;1703,008;3;0,643;3113;1014;1856;9791,51;10344;9530;6113;9781;.;6697;250;469,67;1626,11;1824,09;9552;61;11061;2707;2355;546;16,3;11,3;2;8,2
110015;RO;1969,85;18;0,682;6232;1401;6403;12449,57;18698;19230;11957;17028;80;13647;336,67;500;1452,19;2044,45;16686;386;19486;5226;5571;1460;14,1;10,4;2,3;14,2
110018;RO;6240,932;6;0,71;5706;1468;8538;20393,51;17041;16781;10829;15886;138;11615;340;500;1314,69;2658,07;16023;333;15517;4875;5940;1592;12,9;8,4;2,5;13,1
110020;RO;34096,388;99;0,736;82969;16058;203103;17636,36;217618;210909;142118;207296;4855;138587;450;583,33;1704,9;3458,78;199634;612;162564;61084;99657;30496;8,2;5,1;3;14,6
110025;RO;1758,465;9;0,664;3484;886;2458;12068,42;11309;11010;6824;11425;55;7276;274,29;456,67;1285,39;2049,77;10296;163;12115;3090;2855;692;17,2;12,2;2,4;11,2
110026;RO;1717,64;3;0,643;657;112;353;21768,92;1767;1549;974;1756;.;1208;252,5;498,86;1355,71;1836,78;1214;.;1836;374;430;65;16;13,3;3,2;5,7
110028;RO;1457,888;5;0,7;8725;2425;9990;12155,13;25170;25478;15704;24081;163;16830;325;507;1306,43;2265,31;22322;445;24187;7079;8698;2560;14,5;9;2,1;12,6
110029;RO;1197,796;2;0,67;1247;354;987;13204,85;4596;4290;2536;4996;.;2647;275;466,67;1238,55;1862,17;3847;47;4712;1265;1267;300;18;13;2,1;9,8
110030;RO;11518,941;27;0,731;12887;3352;20015;18575,61;37782;38420;25669;36194;733;27441;347,33;527,5;1177,96;2559,76;35880;1000;31695;11671;14975;4822;9,6;6,1;2,2;13,9
110032;RO;7460,219;4;0,646;3991;1004;2464;18017,34;11328;10500;6723;11989;.;6907;192,5;494;1186,08;2258,78;9733;54;12019;2882;2434;464;16;10,8;2,4;7,6
110033;RO;10071,643;6;0,587;5011;656;1930;11352,56;11735;10811;7688;10413;.;7906;175;333,33;1111;1578,87;9651;11;13076;2338;1690;431;17;13,1;2,2;7,7
110034;RO;3029,189;8;0,643;2820;764;1306;10630,27;8678;8175;4999;8903;16;5252;250;450;1148,82;1978,22;7013;35;9133;2433;1896;556;15,9;12,9;2,1;10
110037;RO;3958,273;2;0,592;2306;557;1060;12398,66;6739;6077;3658;7254;4;3571;233,33;431;1071,01;1723,14;5643;26;7665;1439;1090;223;17,5;13,5;1,9;6,8
110040;RO;2651,822;6;0,625;3186;678;1848;11758,66;9022;8113;5185;9421;38;4545;287,75;452,75;1260,81;2224,31;8623;5;10092;1800;1661;285;16,2;11,8;2,4;7,2
110045;RO;3265,809;5;0,616;6929;1352;4102;11423,31;16741;15642;9698;12853;82;12773;272,33;416;1214,4;1840,75;15514;87;17825;3913;3568;728;14,1;9,9;2,1;7,9
110050;RO;843,446;2;0,634;1533;625;821;11633,47;5336;4904;3147;5116;18;3489;236;455;1199,78;1523,3;4376;6;5787;1432;1132;255;17,5;14,4;1,6;6,8
110060;RO;1961,778;3;0,646;1026;208;489;20662,43;2965;2771;1746;3071;.;1607;316,8;402;1819,25;1610,69;2772;46;3299;663;565;151;16;13,2;1,8;6,3
