Código IBGE do Município;Sigla da Unidade da Federação;População residente, Homens, Rural, 0 a 4 anos;População residente, Homens, Rural, 5 a 9 anos;População residente, Homens, Rural, 10 a 14 anos;População residente, Homens, Rural, 15 a 19 anos;População residente, Homens, Rural, 20 a 24 anos;População residente, Homens, Rural, 25 a 29 anos;População residente, Homens, Rural, 30 a 39 anos;População residente, Homens, Rural, 40 a 49 anos;População residente, Homens, Rural, 50 a 59 anos;População residente, Homens, Rural, 60 a 69 anos;População residente, Homens, Rural, 70 anos ou mais;População residente, Homens, Urbana, 0 a 4 anos;População residente, Homens, Urbana, 5 a 9 anos;População residente, Homens, Urbana, 10 a 14 anos;População residente, Homens, Urbana, 15 a 19 anos;População residente, Homens, Urbana, 20 a 24 anos;População residente, Homens, Urbana, 25 a 29 anos;População residente, Homens, Urbana, 30 a 39 anos;População residente, Homens, Urbana, 40 a 49 anos;População residente, Homens, Urbana, 50 a 59 anos;População residente, Homens, Urbana, 60 a 69 anos;População residente, Homens, Urbana, 70 anos ou mais;População residente, Mulheres, Rural, 0 a 4 anos;População residente, Mulheres, Rural, 5 a 9 anos;População residente, Mulheres, Rural, 10 a 14 anos;População residente, Mulheres, Rural, 15 a 19 anos;População residente, Mulheres, Rural, 20 a 24 anos;População residente, Mulheres, Rural, 25 a 29 anos;População residente, Mulheres, Rural, 30 a 39 anos;População residente, Mulheres, Rural, 40 a 49 anos;População residente, Mulheres, Rural, 50 a 59 anos;População residente, Mulheres, Rural, 60 a 69 anos;População residente, Mulheres, Rural, 70 anos ou mais;População residente, Mulheres, Urbana, 0 a 4 anos;População residente, Mulheres, Urbana, 5 a 9 anos;População residente, Mulheres, Urbana, 10 a 14 anos;População residente, Mulheres, Urbana, 15 a 19 anos;População residente, Mulheres, Urbana, 20 a 24 anos;População residente, Mulheres, Urbana, 25 a 29 anos;População residente, Mulheres, Urbana, 30 a 39 anos;População residente, Mulheres, Urbana, 40 a 49 anos;População residente, Mulheres, Urbana, 50 a 59 anos;População residente, Mulheres, Urbana, 60 a 69 anos;População residente, Mulheres, Urbana, 70 anos ou mais;Total Homens;Total Mulheres;Total
110001;RO;0,038871771;0,042032077;0,042980169;0,04803666;0,039503832;0,03247215;0,055068342;0,066761476;0,04700956;0,0216481;0,014853441;0,034447341;0,042743146;0,056253457;0,059571778;0,047799637;0,05072292;0,089436675;0,072213005;0,041479023;0,027494667;0,028600774;0,029153828;0,038397725;0,043059177;0,035474441;0,038318717;0,028205736;0,055937426;0,052619104;0,028916805;0,012720234;0,011377104;0,043770246;0,0432962;0,047404598;0,061388955;0,048194675;0,053883227;0,088883622;0,06763056;0,045824445;0,035079403;0,017697717;12657;11736;24393
110002;RO;0,011681012;0,012471456;0,018860882;0,01798261;0,01251537;0,012756894;0,02399877;0,023823116;0,016028456;0,007399438;0,007465308;0,070108027;0,079242052;0,085214298;0,080361848;0,085324082;0,078605305;0,133782716;0,105809766;0,062686633;0,034406288;0,019475672;0,012098191;0,014271913;0,013986475;0,014074302;0,013920604;0,009968382;0,023230283;0,015150184;0,010846654;0,007772703;0,003359389;0,067319515;0,075948533;0,085170385;0,08609257;0,085433866;0,08437994;0,139820833;0,106797822;0,061874232;0,03111277;0,021254172;45544;44810;90354
110003;RO;0,039485767;0,050198959;0,053872054;0,048668503;0,036118763;0,044077135;0,090909091;0,072543618;0,082032446;0,046525865;0,025711662;0,036118763;0,027242118;0,041934496;0,048362412;0,033057851;0,032445669;0,055708601;0,068258341;0,030915213;0,023569024;0,012243649;0,043158861;0,037037037;0,048668503;0,048668503;0,031833486;0,047138047;0,064279155;0,081114172;0,063666973;0,029384757;0,023569024;0,039179676;0,040710132;0,04040404;0,036424855;0,036118763;0,036118763;0,070400979;0,048056321;0,03275176;0,015610652;0,018365473;3267;3047;6314
110004;RO;0,019348243;0,019578275;0,022594249;0,021546326;0,017456869;0,015642173;0,033099042;0,031361022;0,022134185;0,013290735;0,009354633;0,058351438;0,06228754;0,073405751;0,080076677;0,079565495;0,072536741;0,123015974;0,10284984;0,064025559;0,033840256;0,024638978;0,017022364;0,01858147;0,019680511;0,01771246;0,015795527;0,018070288;0,02972524;0,025303514;0,020319489;0,009865815;0,008178914;0,056664537;0,059936102;0,075322684;0,081533546;0,085469649;0,073124601;0,138351438;0,108319489;0,065865815;0,035782748;0,027654952;39125;39449;78574
110005;RO;0,009239766;0,014502924;0,016140351;0,012397661;0,010526316;0,009473684;0,027251462;0,029005848;0,015321637;0,012046784;0,007602339;0,065964912;0,067368421;0,082222222;0,08994152;0,078947368;0,070175439;0,116140351;0,113684211;0,072163743;0,042339181;0,03754386;0,008187135;0,009356725;0,01625731;0,010877193;0,01005848;0,01251462;0,022222222;0,021169591;0,017660819;0,008187135;0,005263158;0,059064327;0,06748538;0,076608187;0,087836257;0,082923977;0,072748538;0,13497076;0,116491228;0,06619883;0,052748538;0,032865497;8550;8479;17029
110006;RO;0,017792069;0,022400857;0,024115756;0,027224009;0,016613076;0,019506967;0,03965702;0,040728832;0,035905681;0,023472669;0,012754555;0,057341908;0,054662379;0,065916399;0,069667738;0,069453376;0,063772776;0,110503751;0,09335477;0,057020364;0,043515541;0,034619507;0,015219721;0,016613076;0,025080386;0,025401929;0,015755627;0,018649518;0,041586281;0,035369775;0,034083601;0,012540193;0,008252947;0,059807074;0,058628081;0,063665595;0,069239014;0,073847803;0,072561629;0,113504823;0,090675241;0,063451233;0,043622722;0,03494105;9330;9260;18590
110007;RO;0,04287837;0,058161749;0,075780089;0,083846317;0,053704097;0,059435364;0,104860964;0,107620463;0,070685629;0,038420717;0,027170452;0,025684568;0,025896837;0,026958183;0,022288262;0,032052643;0,021863723;0,0454256;0,034812142;0,0227128;0,01252388;0,007217151;0,037571641;0,049458714;0,067713861;0,061770325;0,038420717;0,04776056;0,106983655;0,072383783;0,056039058;0,030354489;0,023349607;0,023986415;0,025896837;0,022500531;0,033538527;0,032052643;0,027170452;0,040967947;0,033326258;0,015707918;0,009552112;0,007853959;4711;4072;8783
110008;RO;0,043882794;0,044716012;0,053187057;0,054298014;0,035550618;0,039994445;0,06263019;0,060408277;0,038744619;0,018608527;0,013331482;0,052492709;0,062352451;0,066657409;0,050687405;0,046799056;0,050826274;0,084571587;0,050687405;0,03138453;0,021663658;0,016525483;0,041383141;0,048048882;0,050131926;0,037911401;0,035411748;0,036939314;0,060963755;0,041522011;0,027357311;0,010137481;0,002916262;0,053325927;0,056797667;0,062491321;0,051937231;0,042494098;0,046799056;0,076100542;0,043882794;0,03499514;0,023052354;0,014720178;7201;6476;13677
110009;RO;0,019649459;0,028344516;0,034437902;0,026975216;0,020197179;0,019512529;0,050253321;0,038819663;0,029508421;0,019375599;0,009448172;0,065384089;0,056209777;0,063877858;0,067438039;0,07168287;0,068396549;0,111734903;0,091743119;0,056620567;0,030672326;0,019717924;0,020197179;0,027659866;0,027317541;0,02567438;0,016431603;0,02334657;0,04641928;0,029713816;0,020471039;0,013898398;0,008147337;0,056004382;0,057373682;0,069423525;0,068328084;0,075585376;0,067369574;0,111871833;0,085102013;0,059496097;0,030398466;0,026701356;14606;14123;28729
110010;RO;0,028357283;0,021339571;0,021530529;0,016852055;0,01222132;0,011839404;0,022580799;0,015467609;0,00816346;0,006683535;0,004726214;0,074951067;0,086169857;0,090943811;0,085215067;0,08077529;0,071991216;0,124218265;0,098629875;0,058146751;0,035040817;0,024156204;0,018618418;0,022389841;0,018618418;0,011934883;0,012460018;0,013701246;0,017043013;0,008402158;0,008736335;0,00405786;0,002196019;0,077433523;0,083162267;0,088604573;0,090323197;0,075285244;0,072277653;0,134434525;0,102067122;0,059244761;0,03685492;0,030744259;20947;20708;41655
110011;RO;0,029148241;0,031878485;0,033262834;0,036262257;0,023726206;0,027879254;0,05029802;0,048183042;0,0278408;0,016035378;0,015150933;0,048759854;0,057142857;0,066218035;0,061795808;0,073985772;0,068602192;0,107363968;0,075331667;0,051297827;0,030609498;0,019227072;0,025841184;0,030494136;0,034647183;0,02941742;0,026494905;0,029878869;0,045914247;0,033262834;0,027417804;0,016496828;0,009767352;0,056296866;0,058642569;0,063103249;0,068986733;0,068986733;0,068871371;0,118707941;0,083676216;0,050605653;0,027686983;0,024610652;26005;26000;52005
110012;RO;0,009096412;0,009027237;0,010116732;0,01079118;0,00773022;0,008197147;0,015183744;0,014734112;0,00977086;0,007003891;0,006225681;0,073532209;0,077440553;0,083441418;0,087332469;0,090203199;0,086260268;0,141651535;0,116385646;0,074483355;0,037388673;0,024003459;0,009096412;0,008629486;0,009891915;0,008231734;0,00792045;0,00690013;0,015010808;0,012191958;0,008473843;0,00539559;0,003666234;0,068309555;0,074137484;0,082057933;0,091846087;0,092779939;0,091655858;0,152961522;0,120432339;0,078011241;0,038651102;0,030367488;57825;58786;116611
110013;RO;0,039489598;0,048802612;0,051947267;0,050253991;0,041666667;0,036526367;0,069303338;0,065251572;0,050556362;0,033381713;0,012880987;0,049104983;0,05273343;0,05273343;0,050193517;0,042876149;0,04759313;0,080672472;0,05376149;0,037917271;0,015239478;0,017114175;0,039005806;0,041969037;0,046444122;0,038642961;0,03320029;0,033139816;0,059143687;0,05170537;0,038401064;0,016388486;0,006712627;0,046202225;0,046141751;0,053821964;0,051161103;0,046020803;0,049165457;0,078676826;0,050616836;0,030539429;0,01675133;0,009071118;16536;14600;31136
110014;RO;0,03866976;0,048240526;0,05974478;0,06854215;0,051817479;0,052784223;0,092130704;0,075696056;0,059648105;0,034319412;0,017594741;0,027745553;0,03470611;0,049497293;0,041183295;0,03383604;0,032095901;0,06612529;0,05007734;0,023395205;0,022911833;0,019238206;0,037316319;0,046210363;0,052204176;0,065061872;0,039443155;0,038379737;0,082656613;0,057617943;0,053364269;0,022138438;0,017594741;0,034512761;0,037412993;0,038863109;0,035382831;0,040989946;0,041666667;0,070185615;0,049787316;0,027648879;0,021558391;0,011117556;10344;9528;19872
110015;RO;0,017328983;0,019789271;0,026688774;0,031930256;0,020912446;0,023051826;0,038348398;0,043536396;0,02711665;0,015403541;0,011713109;0,05861903;0,065037172;0,072150612;0,066427769;0,077071188;0,069369418;0,111247794;0,08905172;0,055142536;0,033641761;0,026421351;0,016901107;0,02048457;0,022944857;0,030058298;0,017970797;0,019735786;0,040915655;0,034016152;0,023533187;0,011285233;0,00770177;0,059260844;0,064448842;0,073166818;0,070920469;0,079371022;0,076696796;0,120126223;0,102476333;0,06193507;0,041931861;0,032625555;18697;19230;37927
110018;RO;0,011266944;0,010445396;0,015433367;0,017311191;0,010621442;0,005164016;0,018250103;0,016607007;0,020890793;0,01085617;0,005046652;0,066604073;0,076286603;0,083680535;0,082858987;0,094478024;0,086145179;0,133208145;0,108268294;0,065019658;0,035972067;0,025585353;0,007276568;0,013203451;0,01085617;0,011090898;0,007511296;0,006807112;0,013438179;0,019599789;0,014142363;0,007159204;0,00557479;0,067601667;0,070007629;0,082037439;0,086731999;0,087846957;0,085440995;0,144416407;0,115251452;0,065782524;0,036910979;0,025996127;17041;16780;33821
